Targeted Skill (Domains),Subskills,Basic Activity Type(s),Description,Unit(s),Stimulus,Child-to-Device (input) Modality,Device-to-Child (output) Modality,Game Mechanics Examples,,,Sample Items ,Item notes,User Control/Interface,Best Platform
Print Concepts,,Tap ,"Child taps signs (e.g., arrows, emojis) in response to meaningful cues.",Sign,Visual,Tactile,Visual,,,,,,,
,,,"Child taps print symbols embedded in meaningful signs (e.g., stop, go, up, down)",Symbol,Visual,Tactile,Visual,,,,,,,
,,,Child taps printed words corresponding to words embedded in signs. ,Word,Visual,Tactile,Visual,,,,,,,
,,,Child taps sentence to initiate read aloud. ,Sentence,Visual,Tactile,"Visual, Auditory",,,,,,,
,,Swipe (underline),Child swipes words left to right to initiate read aloud. ,Word,Visual,Tactile,"Visual, Auditory",,,,,,,
Letter Knowledge,,Tap,Child taps letters among letters and non-letters.,Letter,Visual,Tactile,Visual,,,,,,,
,,,1. Child sees letter. 2. Child taps specific letter among other non-target letters,Letter,Visual,Tactile,Visual,,,,,,,
,,,1. Child told letter name. 2. Child taps letter named among other non-named letters.,Letter,"Visual, Auditory",Tactile,"Visual, Auditory",,,,,,,
,,Trace,Child follows steps for tracing letters. ,Letter,Visual,Tactile,Visual,,,,,,,
,,"See, Trace & Say",1. Child sees letter. 2. Child told letter name. 3. Child follows steps for tracing letters while saying letter name. ,Letter,Visual,"Tactile, Auditory",Visual,,,,,,,
,,"See, Write & Say",1. Child sees letter and letter disappears. 2. Child writes letter and says its name.,Letter,Visual,"Tactile, Auditory",Visual,,,,,,,
,,"Hear, Write & Say ",1. Child told letter name. 2. Child writes letter from memory and says letter name.,Letter,Auditory,"Tactile, Auditory","Visual, Auditory",,,,,,,
,,"See, Say ","Child sees letter, says its name. ",Letter,Visual,Auditory,Visual,,,,,,,
,,"Say, See, Tap",1. Child prompted to say any letter. 2. Multiple letters appear. 3. Child taps said letter. ,Letter,NA,"Auditory, Tactile",Visual,,,,,,,
Phonological Awareness,Detection ,Swipe,Child swipes common endings of rhyming wods.,Syllable,Visual,Tactile,Auditory ,"3 flowers with two petals where each petal speaks a syllable (state-ment, fig-ment, na-ture) when touched. Player must cut (swipe) and collect the rhyming petals (ment). ",, ,"[state-ment, fig-ment, na-ture] [sta-tion, fic-tion, pos-ture] [cap-ture, struc-ture, cen-sor] [aw-ful, ruf-fle, strug-gle] ",Use real words, ,
,,,Child swipes set of words that do not match. ,Phoneme,Visual,Tactile ,Auditory ,"3 rows of 3 mats (with rows in between rows) where each mat speaks a phoneme when stood on. Player must step on each row (e.g., /bet/ /bat/ /bat/). Player must remove (swipe) the mats of row that doesn't match. ",, ,"[bet, bat, bat] [sit, sit, lit] [stale, stale, sale] [best, best, bets]",Use real or nonsense words, ,
